term	estimate	penalty
(Intercept)	4.48413211642181	3.79269019073225e-09
cg27402634	-1.47452411996789	3.79269019073225e-09
cg20385913	0.466141678474206	3.79269019073225e-09
cg12026561	0	3.79269019073225e-09
cg01883283	0	3.79269019073225e-09
cg21362410	1.22487518299381	3.79269019073225e-09
cg03313447	0	3.79269019073225e-09
cg26650574	0	3.79269019073225e-09
cg11051192	0	3.79269019073225e-09
cg07168214	-0.257495301591324	3.79269019073225e-09
cg24005876	0	3.79269019073225e-09
cg26115089	0	3.79269019073225e-09
cg26566848	0	3.79269019073225e-09
cg01897127	0	3.79269019073225e-09
cg06277957	0	3.79269019073225e-09
cg25727853	0	3.79269019073225e-09
cg14775852	0	3.79269019073225e-09
cg18163683	0	3.79269019073225e-09
cg03256631	0	3.79269019073225e-09
cg12294026	0	3.79269019073225e-09
cg04971534	-0.0925289665726877	3.79269019073225e-09
cg12060249	-0.0537933500298249	3.79269019073225e-09
cg06845669	0	3.79269019073225e-09
cg10801074	0	3.79269019073225e-09
cg04233054	0.516553078645118	3.79269019073225e-09
cg23061113	0	3.79269019073225e-09
cg07897858	0	3.79269019073225e-09
cg10647829	0	3.79269019073225e-09
cg05384898	0	3.79269019073225e-09
cg11581079	-0.726233477584723	3.79269019073225e-09
cg24372191	0.343169177530239	3.79269019073225e-09
cg22580932	0	3.79269019073225e-09
cg08621277	0.00523333367235252	3.79269019073225e-09
cg05213092	0	3.79269019073225e-09
cg24034752	-0.0875601763391363	3.79269019073225e-09
cg17819085	0	3.79269019073225e-09
cg04835489	0	3.79269019073225e-09
cg00037952	0	3.79269019073225e-09
cg12843381	0	3.79269019073225e-09
cg20378055	-0.409336782389964	3.79269019073225e-09
cg26641599	0	3.79269019073225e-09
cg19730379	0	3.79269019073225e-09
cg20018022	0	3.79269019073225e-09
cg08103568	-1.41070902825759	3.79269019073225e-09
cg22378337	0	3.79269019073225e-09
cg11852879	0	3.79269019073225e-09
cg13659813	0	3.79269019073225e-09
cg18026955	0	3.79269019073225e-09
cg16700808	0	3.79269019073225e-09
cg04944545	0	3.79269019073225e-09
cg03732020	0	3.79269019073225e-09
cg11628740	0	3.79269019073225e-09
cg02227879	0	3.79269019073225e-09
cg14150907	0	3.79269019073225e-09
cg04004638	0	3.79269019073225e-09
cg24177452	0	3.79269019073225e-09
cg10805254	0	3.79269019073225e-09
cg06483503	0	3.79269019073225e-09
cg12291408	0	3.79269019073225e-09
cg04156897	0	3.79269019073225e-09
cg21702971	0	3.79269019073225e-09
cg14282004	0	3.79269019073225e-09
cg12719537	0	3.79269019073225e-09
cg09822863	0	3.79269019073225e-09
cg07395140	0	3.79269019073225e-09
cg00527413	0.905729138182702	3.79269019073225e-09
cg19182008	0	3.79269019073225e-09
cg10968316	0	3.79269019073225e-09
cg00313545	0	3.79269019073225e-09
cg10890501	0	3.79269019073225e-09
cg11138596	0	3.79269019073225e-09
cg16383518	0	3.79269019073225e-09
cg11497658	0	3.79269019073225e-09
cg08229425	0	3.79269019073225e-09
cg11256209	0	3.79269019073225e-09
cg03899890	0	3.79269019073225e-09
cg24186108	0	3.79269019073225e-09
cg25104397	0	3.79269019073225e-09
cg22736999	0	3.79269019073225e-09
cg07126891	0	3.79269019073225e-09
cg11711040	0	3.79269019073225e-09
cg07445831	0	3.79269019073225e-09
cg08038720	0	3.79269019073225e-09
cg24524029	0	3.79269019073225e-09
cg13816189	0	3.79269019073225e-09
cg02632511	-0.155999508618992	3.79269019073225e-09
cg21099479	0	3.79269019073225e-09
cg19374905	0	3.79269019073225e-09
cg17449545	0	3.79269019073225e-09
cg03608224	-0.0907697911070226	3.79269019073225e-09
cg19125717	0	3.79269019073225e-09
cg23377690	-0.865222999768091	3.79269019073225e-09
cg02127980	0	3.79269019073225e-09
cg02469105	0	3.79269019073225e-09
cg13067221	0	3.79269019073225e-09
cg05181220	0	3.79269019073225e-09
cg17030163	-0.240798966774035	3.79269019073225e-09
cg19313574	0	3.79269019073225e-09
cg23470684	0	3.79269019073225e-09
cg25399544	0	3.79269019073225e-09
cg16133195	0	3.79269019073225e-09
cg00907805	0	3.79269019073225e-09
cg26668911	0	3.79269019073225e-09
