cpg	mean	sd
cg27402634	0.454904852107265	0.15955537858639
cg20385913	0.693088171459936	0.0467995892759459
cg21362410	0.868603368401564	0.0290465637506243
cg07168214	0.662973009128672	0.051412574914947
cg04971534	0.0407748097095951	0.015164875493877
cg12060249	0.406866303675583	0.0528276882335456
cg04233054	0.545081939840904	0.0761778457958165
cg11581079	0.620300506378618	0.0505509211099434
cg24372191	0.676907326929904	0.0534163078389187
cg08621277	0.840038946793104	0.032284478614294
cg24034752	0.703124927421052	0.0389718649006351
cg20378055	0.578818869195794	0.0708395361204472
cg08103568	0.611217259126024	0.0619093924574481
cg00527413	0.840124861285501	0.0497800514270159
cg02632511	0.456068304511524	0.0675294230963511
cg03608224	0.107919819666416	0.0276842466645772
cg23377690	0.103018018632966	0.0246849487381998
cg17030163	0.402097083245795	0.044056460219034
