cpg	estimate	mean	sd	y_int
cg00527413	0.905729138182702	0.840124861285501	0.0497800514270159	4.48413211642181
cg02632511	-0.155999508618992	0.456068304511524	0.0675294230963511	4.48413211642181
cg03608224	-0.0907697911070226	0.107919819666416	0.0276842466645772	4.48413211642181
cg04233054	0.516553078645118	0.545081939840904	0.0761778457958165	4.48413211642181
cg04971534	-0.0925289665726877	0.0407748097095951	0.015164875493877	4.48413211642181
cg07168214	-0.257495301591324	0.662973009128672	0.051412574914947	4.48413211642181
cg08103568	-1.41070902825759	0.611217259126024	0.0619093924574481	4.48413211642181
cg08621277	0.00523333367235252	0.840038946793104	0.032284478614294	4.48413211642181
cg11581079	-0.726233477584723	0.620300506378618	0.0505509211099434	4.48413211642181
cg12060249	-0.0537933500298249	0.406866303675583	0.0528276882335456	4.48413211642181
cg17030163	-0.240798966774035	0.402097083245795	0.044056460219034	4.48413211642181
cg20378055	-0.409336782389964	0.578818869195794	0.0708395361204472	4.48413211642181
cg20385913	0.466141678474206	0.693088171459936	0.0467995892759459	4.48413211642181
cg21362410	1.22487518299381	0.868603368401564	0.0290465637506243	4.48413211642181
cg23377690	-0.865222999768091	0.103018018632966	0.0246849487381998	4.48413211642181
cg24034752	-0.0875601763391363	0.703124927421052	0.0389718649006351	4.48413211642181
cg24372191	0.343169177530239	0.676907326929904	0.0534163078389187	4.48413211642181
cg27402634	-1.47452411996789	0.454904852107265	0.15955537858639	4.48413211642181
