cpg	mean	sd
cg27402634	0.454904852107265	0.15955537858639
cg03313447	0.291001261285132	0.0364346076298958
cg07168214	0.662973009128672	0.051412574914947
cg04233054	0.545081939840904	0.0761778457958165
cg08103568	0.611217259126024	0.0619093924574481
cg08621277	0.840038946793104	0.032284478614294
cg21702971	0.963639009364793	0.0294547210032046
cg13659813	0.0853272096531295	0.0237947737960226
cg14150907	0.0817121045107041	0.0244421735921026
cg05773155	0.267884713566745	0.0339081145011416
cg17196465	0.818832172627437	0.0301419188436881
cg27189723	0.628718696039315	0.0335268015923241
cg20648272	0.189344374054065	0.060890362668401
cg13393036	0.123951776570682	0.0353957740532842
cg23894219	0.655639265035641	0.0378414569949901
cg05211790	0.823963006278454	0.0488964487510394
cg02339122	0.29750336498918	0.0651298953867987
cg22211564	0.152746834678563	0.0327170322431956
