term	estimate	penalty
(Intercept)	8.34532663770318	1.27427498570313e-08
cg27402634	-1.83527913084586	1.27427498570313e-08
cg03313447	-0.264997649304189	1.27427498570313e-08
cg25585967	0	1.27427498570313e-08
cg07168214	-1.14879867994201	1.27427498570313e-08
cg26115089	0	1.27427498570313e-08
cg25727853	0	1.27427498570313e-08
cg04233054	1.14031980863542	1.27427498570313e-08
cg04835489	0	1.27427498570313e-08
cg08103568	-3.63254668763591	1.27427498570313e-08
cg08621277	1.38622497249957	1.27427498570313e-08
cg02227879	0	1.27427498570313e-08
cg18026955	0	1.27427498570313e-08
cg12291408	0	1.27427498570313e-08
cg10805254	0	1.27427498570313e-08
cg24177452	0	1.27427498570313e-08
cg17819085	0	1.27427498570313e-08
cg13067221	0	1.27427498570313e-08
cg21702971	0.143720921896973	1.27427498570313e-08
cg13659813	-2.39196256947922	1.27427498570313e-08
cg14150907	0.873747568629918	1.27427498570313e-08
cg17888086	0	1.27427498570313e-08
cg05773155	-0.443271755856961	1.27427498570313e-08
cg01761362	0	1.27427498570313e-08
cg08290013	0	1.27427498570313e-08
cg25934581	0	1.27427498570313e-08
cg14015502	0	1.27427498570313e-08
cg17196465	2.44694049220634	1.27427498570313e-08
cg21844472	0	1.27427498570313e-08
cg05904317	0	1.27427498570313e-08
cg22182451	0	1.27427498570313e-08
cg14375890	0	1.27427498570313e-08
cg27189723	-1.26674242335938	1.27427498570313e-08
cg24544105	0	1.27427498570313e-08
cg21992501	0	1.27427498570313e-08
cg02977954	0	1.27427498570313e-08
cg02505177	0	1.27427498570313e-08
cg26843110	0	1.27427498570313e-08
cg18328334	0	1.27427498570313e-08
cg21171115	0	1.27427498570313e-08
cg22018329	0	1.27427498570313e-08
cg09491670	0	1.27427498570313e-08
cg24577455	0	1.27427498570313e-08
cg03490288	0	1.27427498570313e-08
cg10279360	0	1.27427498570313e-08
cg04895640	0	1.27427498570313e-08
cg15615645	0	1.27427498570313e-08
cg03327619	0	1.27427498570313e-08
cg25112191	0	1.27427498570313e-08
cg26955845	0	1.27427498570313e-08
cg05306310	0	1.27427498570313e-08
cg09126859	0	1.27427498570313e-08
cg02215430	0	1.27427498570313e-08
cg17453767	0	1.27427498570313e-08
cg23580000	0	1.27427498570313e-08
cg05525648	0	1.27427498570313e-08
cg15847249	0	1.27427498570313e-08
cg00156230	0	1.27427498570313e-08
cg17823829	0	1.27427498570313e-08
cg20648272	-0.296579585391971	1.27427498570313e-08
cg20545907	0	1.27427498570313e-08
cg24583987	0	1.27427498570313e-08
cg13393036	-0.430206667604826	1.27427498570313e-08
cg23894219	-0.295458680509126	1.27427498570313e-08
cg22911462	0	1.27427498570313e-08
cg18048405	0	1.27427498570313e-08
cg16671157	0	1.27427498570313e-08
cg16103203	0	1.27427498570313e-08
cg05211790	0.329219657763761	1.27427498570313e-08
cg01396774	0	1.27427498570313e-08
cg23097499	0	1.27427498570313e-08
cg05376469	0	1.27427498570313e-08
cg02339122	-0.214848238809376	1.27427498570313e-08
cg17894755	0	1.27427498570313e-08
cg12882572	0	1.27427498570313e-08
cg16573957	0	1.27427498570313e-08
cg24601480	0	1.27427498570313e-08
cg07437908	0	1.27427498570313e-08
cg22211564	-0.213109648932512	1.27427498570313e-08
